	AIN2	AIN3	AIN4	AIN5	HF2	HF3	HF4	HF5	CE2_2	CE2_3	CE2_4	CE2_5
Akkermansia	0	0	0.000286574	0	0.000666869	0.00034303	0.00281294	0.000101404	0.001340195	0.000115978	0.000163955	0.000365249
Lachnospiraceae UCG-006	0.001236094	0.001309428	0.00224483	0.001904359	0	0	0.000293015	0.000659129	0.000804117	0	0.000204943	0.000260892
Lachnospiraceae FCS020 group	0	0.000553989	0.000716435	0.000158697	0.000909366	0.000891877	0.001054852	0.001115449	0.000696901	0	0	0
Ruminococcaceae NK4A214 group	0.000285252	0.000503626	0.000573148	0.000158697	0.000606244	0	0.000527426	0.001521067	0.000911333	0.000386593	0.000327909	0.000208714
Peptococcus	0.000190168	0.000453263	0.000429861	0	0.001879357	0.001646542	0.000820441	0.001064747	0.000375255	0	0	0
[Eubacterium] oxidoreducens group	0.000190168	0	0.000429861	0.000370292	0.002061231	0.00150933	0.000468823	0.000963342	0.000911333	0.000193296	0	0
Ruminococcaceae UCG-005	0.000142626	0.000553989	0.000286574	0.000264494	0	0	0.000175809	0	0.001286587	0.000270615	0.000942739	0
Erysipelatoclostridium	0	0	0	0.000264494	0	0.000205818	0.000351617	0	0.001125764	0.000270615	0.002377341	0.000887034
[Eubacterium] nodatum group	0.000332795	0.000352538	0.000668673	0	0.00054562	0.000480241	0.000468823	0.000507022	0.000589686	0.000618549	0	0.000104357
Ruminococcus 1	0.000475421	0.001762691	0.000907484	0.001798561	0	0	0	0	0	0	0	0
Intestinimonas	0	0	0	0	0	0	0.000820441	0	0.002733998	0	0	0
Gordonibacter	0.00023771	0.000100725	0.000525386	0.000317393	0.000181873	0	0	0.000253511	0.000911333	0.000695867	0.000204943	0.000573963
Butyricicoccus	0	0	0	0	0	0	0	0	0	0	0	0.000313071
Ruminiclostridium 6	0	0.000352538	0.002197067	0.001110876	0	0	0	0	0	0	0	0
Harryflintia	0	0	0	0.000158697	0.000363747	0.000480241	0.000351617	0.000861938	0.000268039	0	0	0
Faecalitalea	0	0	0	0	0	0	0	0.000202809	0.001876273	0.000115978	0	0.000208714
Family XIII AD3011 group	0	0	0	0	0.000303122	0	0.000351617	0.000202809	5.36E-05	0.000425252	0.000245932	0.000260892
ASF356	0	0	0	0	0.000848742	0	0	0	0.000214431	0.000231956	0	0
[Eubacterium] brachy group	0	0.000251813	0.000238812	0	0	0	0	0.000101404	0.000268039	0	0	0
Lachnospiraceae UCG-001	0.000142626	0.000352538	0	0	0	0	0	0	0	0	0	0
Anaerofustis	0	0	0	0	0	0	0	0	0.000214431	0	0	0.000156535
Streptococcus	0	0.00020145	0	0	0	0	0	0.000253511	0	0	0	0
uncultured Firmicutes bacterium	0	0	0	0	0	0	0	0	0	0	0	0.000313071
Ruminococcaceae UCG-013	0	0	0	0.000211595	0	0	0	0	0	0	0	0
Cutibacterium	0	0	0	0	0.000181873	0	0	0	0	0	0	0
